game_official_name,game_short_name,game_release_date,series_universe,platform_official_name,platform_short_name,platform_brand,platform_release_date
Mario Paint,Mario Paint,1992-12-10,Super Mario,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Mickey Mania,Mickey Mania,1994-10-28,Mickey,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Micro Machines,Micro Machines,1994-12-01,Micro Machines,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Micro Machines 2: Turbo Tournament,Micro Machines 2,1996-02-22,Micro Machines,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Mortal Kombat,Mortal Kombat,1993-09-13,Mortal Kombat,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Mortal Kombat II,Mortal Kombat II,1994-09-09,Mortal Kombat,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Mr. Nutz,Mr. Nutz,1994-08-01,Mr. Nutz,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Mystic Quest Legend,Mystic Quest,1994-04-01,Mystic Quest,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
NBA Jam,NBA Jam,1994-04-01,NBA Jam,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
NCAA Basketball,NCAA Basketball,1993-07-22,NCAA Basketball,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Nigel Mansell's World Championship Racing,Nigel Mansell's World Championship Racing,1993-12-16,Nigel Mansell's World Championship Racing,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Nintendo Scope 6,Nintendo Scope,1992-02-01,Nintendo Scope,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Out to Lunch,Out to Lunch,1993-11-01,Out to Lunch,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Phalanx,Phalanx,1992-10-01,Phalanx,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Pilotwings,Pilotwings,1991-08-23,Pilotwings,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Pinocchio,Pinocchio,1996-11-01,Pinocchio,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Populous II: Trials of the Olympian Gods,Trials of the Olympian Gods,1993-01-22,Populou,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Powermonger,Powermonger,1993-01-01,Powermonger,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Prince of Persia 2: The Shadow and the Flame,Prince of Persia 2,1996-01-01,Prince of Persia,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
R-Type III,R-Type III,1994-11-22,R-Type,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Race Drivin',Race Drivin',1992-10-01,Race Drivin',Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Radical Rex,Radical Rex,1994-09-01,Radical Rex,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Realm,Realm,1996-02-27,Realm,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Revolution X,Revolution X,1995-06-17,Revolution X,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Rise of the Robots,Rise of the Robots,1995-06-16,Rise of the Robots,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Road Riot 4WD,Road Riot 4WD,1992-11-01,Road Riot 4WD,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
RoboCop 3,RoboCop 3,1992-09-01,RoboCop,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
RoboCop Versus The Terminator,RoboCop Versus The Terminator,1993-08-24,RoboCop,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Rock n' Roll Racing,Rock n' Roll Racing,1994-03-31,Rock n' Roll Racing,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Run Saber,Run Saber,1993-06-08,Run Saber,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Samurai Shodown,Samurai Shodown,1994-09-14,Samurai Shodown,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Saturday Night Slam Masters,Saturday Night Slam Masters,1994-09-01,Saturday Night Slam Masters,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
SeaQuest DSV,SeaQuest DSV,1995-07-27,SeaQuest DSV,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Secret of Evermore,Secret of Evermore,1995-02-22,Secret of Evermore,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Secret of Mana,Secret of Mana,1994-11-24,Mana,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Shadowrun,Shadowrun,1994-07-28,Shadowrun,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Shanghai II: Dragon's Eye,Dragon's Eye,1993-01-01,Shanghai,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Shaq-Fu,Shaq-Fu,1994-01-01,Shaq-Fu,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Side Pocket,Side Pocket,1994-03-01,Side Pocket,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
SimCity,SimCity,1991-08-13,SimCity,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
SimCity 2000,SimCity 2000,1996-11-01,SimCity,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Sink or Swim,Sink or Swim,1994-12-31,Sink or Swim,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Skyblazer,Skyblazer,1994-03-25,Skyblazer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Soul Blazer,Soul Blazer,1994-01-27,Soul Blazer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Space Ace,Space Ace,1994-01-01,Space Ace,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Spanky's Quest,Spanky's Quest,1992-01-01,Spanky's Quest,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Sparkster,Sparkster,1994-01-01,Sparkster,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Spectre,Spectre,1994-07-01,Spectre,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Spider-Man & Venom: Maximum Carnage,Spider-Man & Venom: Maximum Carnage,1994-11-24,Spider-Man,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Spider-Man & X-Men: Arcade's Revenge,Spider-Man & X-Men: Arcade's Revenge,1994-08-19,Spider-Man,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Spindizzy Worlds,Spindizzy Worlds,1992-01-01,Spindizzy Worlds,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Star Trek: Deep Space Nine – Crossroads of Time,Star Trek: Deep Space Nine,1995-01-01,Star Trek,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Star Trek: Starfleet Academy - Starship Bridge Simulator,Star Trek: Starfleet Academy,1994-01-01,Star Trek,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Stargate,Stargate,1995-06-29,Stargate,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Street Fighter II,Street Fighter II,1992-12-01,Street Fighter II,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Street Fighter II Turbo,Street Fighter II Turbo,1993-10-01,Street Fighter,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Street Racer,Street Racer,1995-06-16,Street Racer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Stunt Race FX,Stunt Race FX,1994-10-10,Stunt Race FX,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Sunset Riders,Sunset Riders,1993-10-01,Sunset Riders,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Adventure Island,Super Adventure Island,1992-11-19,Super Adventure Island,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Battletank 2,Super Battletank 2,1994-08-08,Super Battletank 2,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Castlevania IV,Super Castlevania IV,1991-12-04,Super Castlevania IV,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Double Dragon,Super Double Dragon,1992-10-01,Super Double Dragon,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Full Metal,Super Full Metal,1992-12-01,Super Full Metal,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Ice Hockey,Super Ice Hockey,1994-03-25,Super Ice Hockey,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Mario All-Stars,Super Mario All-Stars,1993-12-16,Super Mario,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Mario Kart,Super Mario Kart,1992-09-01,Mario Kart,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Mario World,Super Mario World,1991-08-13,Super Mario,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Mario World 2: Yoshi's Island,Yoshi's Island,1995-10-04,Super Mario,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Metroid,Super Metroid,1994-04-18,Super Metroid,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Pinball: Behind the Mask,Super Pinball,1994-08-08,Super Pinball,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Probotector: Alien Rebels,Super Probotector,1992-09-12,Super Probotector,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super R-Type,Super R-Type,1991-01-01,R-Type,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Soccer,Super Soccer,1992-05-01,Super Soccer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Star Wars,Super Star Wars,1992-11-01,Super Star Wars,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Street Fighter II: The New Challengers,Super Street Fighter II,1994-08-01,Super Street Fighter II,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Strike Gunner,Super Strike Gunner,1992-11-01,Super Strike Gunner,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Tennis,Super Tennis,1992-06-04,Super Tennis,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
T2: The Arcade Game,T2: The Arcade Game,1994-01-01,T2: The Arcade Game,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Teenage Mutant Hero Turtles: Tournament Fighters,Teenage Mutant Hero Turtles,1993-12-01,Teenage Mutant Hero Turtles,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Terranigma,Terranigma,1996-12-19,Terranigma,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Adventures of Batman & Robin,Batman & Robin,1994-12-01,Batman,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Blues Brothers,The Blues Brothers,1993-06-01,The Blues Brothers,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Great Circus Mystery Starring Mickey & Minnie,The Great Circus Mystery Starring Mickey & Minnie,1994-10-01,Mickey,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Incredible Hulk,The Incredible Hulk,1994-08-01,The Incredible Hulk,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Legend of Zelda: A Link to the Past,A Link to the Past,1992-09-24,The Legend of Zelda,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Lion King,The Lion King,1994-11-11,The Lion King,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Magical Quest Starring Mickey Mouse,The Magical Quest,1993-03-18,Mickey,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Pagemaster,The Pagemaster,1994-01-01,The Pagemaster,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Ren & Stimpy Show - Veediots!,The Ren & Stimpy Show - Veediots!,1993-10-01,The Ren & Stimpy Show - Veediots!,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Ren & Stimpy Show: Time Warp,The Ren & Stimpy Show: Time Warp,1995-06-16,The Ren & Stimpy Show: Time Warp,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Simpsons: Bart's Nightmare,The Simpsons,1993-01-09,The Simpsons,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Smurfs,The Smurfs,1994-01-01,The Smurfs,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Tintin in Tibet,Tintin in Tibet,1995-12-15,Tintin,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Tintin: Prisoners of the Sun,Tintin: Prisoners of the Sun,1997-01-01,Tintin,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Tiny Toon Adventures: Buster Busts Loose!,Tiny Toon Adventures: Buster Busts Loose!,1993-02-01,Tiny Toon Adventures: Buster Busts Loose!,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Troddlers,Troddlers,1993-01-01,Troddlers,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Urban Strike,Urban Strike,1995-11-01,Urban Strike,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Wario's Woods,Wario's Woods,1994-12-10,Wario's Woods,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Whirlo,Whirlo,1992-07-23,Whirlo,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Worms,Worms,1995-01-01,Worms,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
WWF Royal Rumble,WWF Royal Rumble,1993-06-08,WWF Royal Rumble,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
WWF Super Wrestlemania,WWF Super Wrestlemania,1992-02-12,WWF Super Wrestlemania,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Young Merlin,Young Merlin,1994-03-31,Young Merlin,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Zombies,Zombies,1994-01-27,Zombies,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
